dialogue,Speaker,talktime,math_density,uptake,student_reasoning,focusing_questions
"Okay, do you see my pointer moving?",Tutor,7,0,,,0.0
Yep.,Student,1,0,,,
"All right, try to move yours. Let me make sure I can see you too. Awesome. You see the tools on the left-hand side?",Tutor,24,0,,,0.0
Yeah.,Student,1,0,,,
"All right, so we're going to practice using a couple of them because the erase function can get a little bit tricky. The pencil, that's the second one down. Whenever you click on it, right above, you'll see the color box and size box pop up. That's where you can change things if you decide that you want to make something a different color or a different size. And then the T with a, or a box with a T in the center, it's a text box if you would rather type instead of draw. And if you create something and you decide that you change your mind and want to erase it, you use this top arrow to select what it is that you want to erase. And then the arrow with an X to erase exactly what's selected. If you hit the trash can button, it will erase everything. And we don't want to do that because then we can't get your work back.",Tutor,166,0,,,0.0
Okay.,Student,1,0,,,
"Okay, so practice drawing something and then erasing what you drew. So use this top arrow up here to select what you want to erase. And then once it's selected, you can click the erase button.",Tutor,36,0,,,0.0
Yeah.,Student,1,0,,,
It's a little bit tricky. Makes sense?,Tutor,7,0,,,0.0
Okay.,Student,1,0,,,
"You can also close your chat box if it's open to give you some more workspace. Because we'll be talking back and forth like this. And on that note, I will ask you lots of questions, but that doesn't necessarily mean that you have to answer all of them. You just have to think about what you're thinking about. So I'm going to ask you a few questions. And then I'm going to ask you to think about what you're thinking about. And then you can use your chat box to ask questions. And then I want to ask you a few questions and then I'm going to ask you to think about what you're thinking about. So it's nice you can just verbalize it and say, I'm not sure. Give me some time to think. And then I won't interrupt your thinking that way. Cool?",Tutor,146,0,,,0.0
Yep.,Student,1,0,,,
All right. We're going to get started.,Tutor,7,0,,,0.0
I'm guessing it might be distance related. What's it called? Possibly rate of change?,Student,14,1,,0.0,
You said distance related.,Tutor,4,1,1.0,,0.0
And what else?,Student,3,0,,,
Possibly rate of change. Something might be changing. What are some things that we might measure in this situation?,Tutor,19,1,,,1.0
Distance and time ratio.,Student,4,2,,,
"Okay. So if you are measuring distance and time ratio, what are some units we might use to",Tutor,18,4,,,0.0
measure that? Probably like miles per hour. Yeah. Okay.,Student,9,1,,0.0,
So we would use the miles per hour as a unit?,Tutor,11,1,1.0,,1.0
"Yeah, most likely.",Student,3,0,,,
Use your arrow to show me what's happening in this situation with the car.,Tutor,14,0,,,0.0
What's it doing? It's driving like upwards.,Student,7,0,,,
Okay.,None,1,0,,,
So if we're pretending...,Tutor,4,0,,,0.0
"No, down, sorry.",Student,3,0,,,
"Oh, wait. Is it up or down or could it be both?",Tutor,12,0,,,0.0
From province to New York.,Student,5,0,,,
"Okay. And it's going to drive through New York City on that interstate. Yeah. Okay, cool. Now I'm going to uncover something else. And tell me how this is similar or different to what you were thinking about.",Tutor,38,0,1.0,,1.0
It's very similar because it's also a rate of change and it's miles per hour.,Student,15,0,,1.0,
Okay. Show me where you see that miles per hour or that rate of change.,Tutor,15,0,1.0,,0.0
"Well, it's talking about on this side, it's the distance in correlation with how much time has gone by in hours.",Student,21,1,,1.0,
Okay. So what's the blue line showing then? Is it showing miles or is it showing hours or is it showing something else?,Tutor,23,1,1.0,,0.0
It's showing how many miles the car has moved per hour.,Student,11,0,,0.0,
Okay. So you used... Let me see exactly what it was. You said a distance time ratio. Do you see that ratio anywhere on this graph?,Tutor,26,4,1.0,,1.0
"I suppose like on the letters, how there's zero and zero, 50 to one.",Student,14,0,,0.0,
Okay. So is the ratio just at point B? Like you can describe a ratio at point B or can you describe a ratio of the blue line,Tutor,28,4,0.0,,0.0
"at all? I think if calculated, there can be a ratio of the entirety of the line.",Student,17,2,,1.0,
And what would that ratio be telling us about this situation?,Tutor,11,1,1.0,,1.0
"How many hours it would have taken for the... Wait, I have to think about this real quick. Like how many hours it would be taking to get from Providence to Newark?",Student,32,0,,0.0,
I thought that just this axis was keeping track of how many hours. Is it also keeping track of a ratio or something? I'm trying to make sense of how all of that's connected.,Tutor,34,2,1.0,,0.0
One sec. There might be a third factor to calculate with this graph. Say more about that. Like perhaps the speed at which the car is moving.,Student,27,1,,0.0,
Are we able to see the speed of the car in this?,Tutor,12,0,1.0,,0.0
"No, we're not getting the speed.",Student,6,0,,,
