text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"You had a few minutes to get yourself comfortable with the words on that paper.  Those are all words that – not all of them we’re going to use today, but as we introduce the unit today, those are all words that you will see over the next couple weeks.  What I’m going to ask you to do now is I’m going to ask you actually tuck your word search into your desk. Okay, as soon as you’re done, eyes up here, please.  Student R, could you put your word search in your desk, please?",teacher,95,1,,,0.0
Yes.,student,1,0,,,
"Thank you, sir.  Student J.  Remember, I should only have to say something once and you follow the directions.  Okay. And before we get started, up here is our goal for the day. Remember how in morning meeting usually we set a goal, how we’re going to behave for the day, what we’re going to do to make a good day.  This is our goal for our math lesson today.  Okay?  So at any point I ever say to you, Student M, what are we trying to learn today, it’s up there, so you know what we have to do.  Okay? So in our new unit we’re learning the shape of data, or day- ta.  People say it two different ways.  Raise your hand if you’ve heard it “data.”  Raise your hand if you’ve heard “day-ta.”  Okay.  So everybody’s heard it in a different way.  It means the same thing.  It’s spelled the same way. So what we’re going to have to learn today is you’re going to be able to describe or explain how and why we collect data.  Okay/ And you’re going to be able to explain a line plot.  Raise your hand if you did a line plot in third grade.  You did. Good. It’s a [inaudible] into some graphs, getting us into bar graphs.  It looks like a bar graph but without the bar.  It has the X’s all the way up.  You might be familiar with those.  If not, we’re going to do one today.  You’re actually going to create one with boxes of raisins.  Okay? So, who can tell me what the word data means?  What does the word data mean?  Student J?",teacher,279,13,,,0.0
Like information.,student,2,0,,,
"It’s exactly that.  It’s information.  Why do we collect data? Why is data important?  You see data every single day. Every single day you have information that people have collected for you.  Why do we do that?  Why do we do that, Student H?",teacher,44,3,,,1.0
"Without information we wouldn’t know anything, we wouldn’t know how to do it.  So if we have information it will be easier for us to do what we need to.",student,30,0,,0.0,
"Okay.  Can you please put your gum out in the barrel, please? Student J, why do we have data?",teacher,19,1,1.0,,1.0
"[Inaudible] data is like information that you use to, well, I lost it.",student,13,1,,0.0,
You’re all right.  It’s information that you use.  And what do we use that information for?,teacher,16,0,1.0,,0.0
Like for [inaudible].,student,3,0,,,
"Okay.   Maybe you want to collect your data of your electricity bill, and I looked from January to December and I looked at what I paid every month for my electricity bill.  And I noticed that in the summertime my bill, my amount goes a little bit higher because I probably have my air conditioner running, right?  So I know maybe I collect that data and I know to put some extra money aside for the summertime.  That’s a great idea, Student J.  How about you, Student T?",teacher,88,2,,,0.0
Scientists have to collect a lot of information about all kinds of stuff.,student,13,0,,0.0,
"Scientists are – when you think of collecting data, that’s usually the first profession, the first person you think of is a scientist, don’t you?  They collect a lot of data because they’re doing a lot of what?",teacher,38,2,1.0,,0.0
Scientific stuff.,student,2,0,,,
Scientific stuff.  What do we call those scientific things they do?  It begins with an E.,teacher,16,0,,,0.0
Experiments.,student,1,0,,,
"Experiments.  They do a lot of experiments.  They have to collect data so they know if the medicine works.  They have to collect data if they know special tires on a car work. They’re always collecting data to see how they can improve things.  So today we’re going to collect data – not really like a scientist.  We’re not making up a new medicine to cure the common cold, okay?  We’re just figuring out how many boxes of raising we’re going to have in the classroom. How many – we have 1, 2, 3, 4 because some are out – 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20. Twenty students.  We’re going to find out how many raisins are in your box.  And we’re going to find out what’s the most common number you see.  Okay? Why would it be important – let’s say I needed to buy raisins.  What might I need to buy raisins for?  Student J?",teacher,167,4,,,0.0
For an activity?,student,3,0,,,
For an activity.,teacher,3,0,,,0.0
For your health.,student,3,0,,,
"For your health, to eat them.  What do you use raisins in sometimes?",teacher,13,0,,,0.0
Grapes.,student,1,0,,,
"Raisins are grapes.  They’re dried grapes.  But what do I use them at home?  If I was at home, what could I use a raisin for?  Student J?",teacher,28,0,,,0.0
Food.,student,1,0,,,
Food.  What kind of food?,teacher,5,0,,,0.0
Cereal.,student,1,0,,,
Cereal.  I might put them in my oatmeal.,teacher,8,0,,,0.0
[Inaudible.],multiple students,1,0,,,
What are those great cookies?,teacher,5,0,,,0.0
Oatmeal.,student,1,0,,,
